layer	latent	clinical_exp	model
12	4883	"""The term \""DISCHARGE\"" and its variations, particularly the token \""CHARGE\"", consistently exhibit high activation levels, suggesting that the pattern is related to the concept of patient discharge, including diagnoses and medications at the time of discharge."""	2B
12	4884	"""The word \""prison\"" or its variants, indicating a connection to incarceration."""	2B
12	4885	"""The verb \""noticed\"" or its variants, indicating a patient's recognition or awareness of a symptom or change in their condition."""	2B
12	4886	"""Expressions of physical or emotional distress, including symptoms, reactions, or behaviors indicating discomfort, pain, or anxiety."""	2B
12	4887	"""Medical settings or locations, such as departments, units, or rooms, and also medical procedures or tests, often denoted by abbreviations."""	2B
12	4888	"""The term \""fixed\"" is consistently activated across various medical contexts, suggesting that the model is recognizing a pattern related to the concept of something being unchanging or stable, often in relation to medical conditions, treatments, or test results."""	2B
12	4889	"""Medical terminology, particularly words related to medical procedures, medications, or evaluations."""	2B
12	4891	"""The digit \""1\"" is consistently activated when it appears as the first digit in a numerical value, often in the context of medication dosages or quantities."""	2B
12	4892	"""Medical facilities, healthcare services, or medical procedures."""	2B
12	4893	"""The model is activated by tokens indicating comparison, addition, or specification of quantity, often in a medical context."""	2B
12	4895	"""Medication prescriptions or instructions, often including dosage and refill information, and sometimes including follow-up appointment information."""	2B
12	4896	"""Right ventricular free wall characteristics, particularly its motion, thickness, or contractility."""	2B
12	4897	"""The presence of a single character or short sequence of characters within the delimiters, often denoted by \""p\"" or a single word, tends to have a moderate activation level, while phrases or words that indicate a change or progression, such as \""trend\"", \""trending\"", or \""resulted\"", have higher activation levels, suggesting that the model is sensitive to language patterns that convey a sense of development or outcome."""	2B
12	4898	"""Geographic locations, proper nouns, and medication names."""	2B
12	4899	"""The Emergency Department (ED) or Operating Room (OR) setting."""	2B
12	4900	"""Medication names, medical procedures, or medical conditions, often with a focus on the root or core part of the term."""	2B
12	4901	"""The medication Celecoxib (also known as Celebrex) or its shortened form \""Cele\""."""	2B
12	4902	"""HTML tags, particularly those denoting bold, italic, or line breaks, are highly activated, suggesting the model is recognizing and emphasizing formatting elements in the text."""	2B
12	4903	"""Physical activity or exertion, particularly walking or ambulating, often with mention of difficulties or assistance."""	2B
12	4904	"""The activation patterns suggest that the model is responding to phrases that indicate the addition or inclusion of something, such as medications, treatments, or services, often in a medical context."""	2B
12	4905	"""The phrase \""passed away\"" indicating a patient's death."""	2B
12	4906	"""The token \""at\"" is activated when it is part of a phrase indicating a location, often in the context of medical appointments or procedures, but the activation level is also influenced by the specificity of the location."""	2B
12	4907	"""Parenthetical or aside information, often indicating a shift in the main narrative or providing additional context."""	2B
12	4908	"""Medication names and their corresponding dosages or instructions."""	2B
12	4909	"""The presence of the term \""Attending\"" in a medical context, often indicating the attending physician or a formal greeting."""	2B
12	4910	"""The model is activated by phrases that provide guidance, instruction, or clarification, often indicating a condition, a requirement, or a consequence."""	2B
12	4911	"""Units of measurement or anatomical locations."""	2B
12	4912	"""The word \""still\"" is consistently activated across all snippets, often in conjunction with verbs or verb phrases that describe ongoing or persistent conditions, indicating that the model is recognizing the concept of continuity or persistence."""	2B
12	4913	"""Time-related information, particularly times of day and timestamps."""	2B
12	4914	"""The model is activated by phrases indicating substitution, replacement, or comparison of medical treatments, conditions, or effects."""	2B
12	4915	"""Punctuation marks and certain words or phrases that indicate a transition or separation between different sections or items in a medical text, often used to provide specific instructions or list information."""	2B
12	4916	"""Medication instructions or prescriptions, specifically the quantity or dosage of a medication."""	2B
12	4917	"""The presence of a vertical bar (|) symbol, often used to separate or indicate a relationship between medical test results, sensitivities, or other data in a laboratory or medical context."""	2B
12	4918	"""Tokens indicating a transition or consequence in medical treatment or patient status."""	2B
12	4919	"""Prepositions or words indicating relationships, often used to connect phrases or clauses, especially when introducing a cause, component, or explanation."""	2B
12	4920	"""The presence of the token \""with\"" in a medical context, often indicating a condition, procedure, or finding accompanied by something else."""	2B
12	4921	"""Immediate family members."""	2B
12	4923	"""The digit \""1\"" is consistently activated when it appears as the first character in a sequence of digits, typically representing a quantity or dosage in a medical context."""	2B
12	4924	"""Household or caregiver-related information, particularly in the context of disease transmission or prevention."""	2B
12	4925	"""The model is activated by medical terms or words that are part of a medical term, especially when they appear in a specific medical context or are part of a larger medical term."""	2B
12	4926	"""Numerical ratings or scales, often used to quantify the severity of symptoms or the level of functioning."""	2B
12	4927	"""The token \""bathroom\"" is consistently activated across various medical contexts, suggesting that the model is recognizing the bathroom as a common location for medical events or symptoms to occur."""	2B
12	4928	"""The presence of the word \""Strong\"" in a medical context, often indicating a notable or significant finding, such as a strong pulse or cough, or a strong family history of a condition."""	2B
12	4929	"""Numerical values, particularly those indicating time, dosage, or quantity."""	2B
12	4930	"""The token \""flex\"" is activated when it refers to a physical or medical context, particularly in relation to movement, muscle function, or medical procedures, with higher activation levels when it is used as a medical term."""	2B
12	4931	"""The token \""far\"" is consistently activated when it is used to describe a spatial relationship, particularly in a medical context, often indicating a comparison or a measurement of distance."""	2B
12	4932	"""Medication names and dosing instructions."""	2B
12	4933	"""The model is activated by phrases indicating adaptation or adjustment to new situations, conditions, or environments."""	2B
12	4934	"""Medical terms or descriptions of physical conditions, particularly those related to physical examination findings or patient characteristics."""	2B
12	4935	"""Empty tokens between delimiters are highly activated, suggesting that the model is responding to the presence of the delimiters themselves, rather than the content within them."""	2B
12	4936	"""Street names, addresses, or units of measurement, particularly those containing abbreviations or numeric values."""	2B
12	4937	"""Time-related notation, specifically the colon (:) and period (.)."""	2B
12	4938	"""Laboratory blood drawing or testing."""	2B
12	4939	"""Geographic locations or brand names, particularly those related to Florida or medical products."""	2B
12	4940	"""The presence of a closing HTML tag (\""</u>\"") within a bolded and underlined section, typically indicating the start of a new section or category in a medical report, is highly representative of the pattern, while the presence of a medical term or diagnosis outside of this context is less representative."""	2B
12	4941	"""Medical abbreviations, dosages, and quantities, particularly those related to medication prescriptions and administration instructions."""	2B
12	4943	"""Actions or movements, particularly walking or standing, often in relation to a specific location or direction."""	2B
12	4944	"""Laboratory values and vital signs."""	2B
12	4945	"""Prepositions or function words that are part of a medical term or phrase, often indicating a relationship or location."""	2B
12	4946	"""The model is activated by medical terms or phrases that are section headings or labels in a medical record."""	2B
12	4947	"""The presence of the adverbs \""fortunately\"" or \""thankfully\"" indicating a positive turn of events or a favorable outcome in a patient's condition."""	2B
12	4948	"""Medical terms, diagnoses, medications, or medical concepts, often with a focus on specific conditions, treatments, or anatomical references."""	2B
12	4951	"""The activation patterns are associated with the presence of a dash or a period, often used as a separator or indicator in medical notation, particularly in laboratory results and clinical notes."""	2B
12	4952	"""The model is activated by the first character of a medical term or abbreviation, often following a left-pointing delimiter, or by a punctuation mark that follows a medical term or abbreviation."""	2B
12	4953	"""Medical terms related to anatomical directions, positions, or procedures, often indicating a specific location or orientation in the body."""	2B
12	4956	"""Medical terms, measurements, and abbreviations, particularly those related to diagnoses, medications, and medical procedures."""	2B
12	4957	"""Medical examination findings, particularly those related to cardiovascular and neurological assessments."""	2B
12	4958	"""The number \""1\"" or a blank space immediately following \""<<\"" and preceding \"">>\"" often indicates the start of a numbered list, particularly in medical prescriptions or instructions."""	2B
12	4959	"""The presence of a medical condition or its complications, often in a specific context or setting."""	2B
12	4961	"""Medical terms, particularly those related to medical procedures, conditions, or equipment."""	2B
12	4962	"""The activation patterns are associated with feeding-related information, particularly in the context of infant or pediatric care."""	2B
12	4963	"""Punctuation marks that indicate the end of a sentence or a section, often used to separate medical instructions or test results."""	2B
12	4965	"""The definite article \""The\"" or the word \""Daily\"" or other words that are part of a common phrase or title, often used to introduce or label a section or piece of information."""	2B
12	4966	"""The term \""distance\"" in a medical context, often referring to the proximity of a tumor to a margin or a specific anatomical landmark."""	2B
12	4967	"""The model is activated by phrases or words that indicate a relationship or action involving the patient or a person, often in the context of medical treatment or advice."""	2B
12	4968	"""The activation patterns are associated with the presence of a hyphen (-) or a colon (:) used as a separator in medical notation, particularly in laboratory results and medication instructions."""	2B
12	4969	"""Numerical values or codes, often in a medical or pharmaceutical context, particularly when preceded by a specific formatting or punctuation."""	2B
12	4970	"""The digit \""1\"" is consistently activated when it appears as part of a medical dosage or quantity, often in the context of medication instructions."""	2B
12	4971	"""Tokens related to medical test results, procedures, or randomization in medical contexts."""	2B
12	4973	"""The model is activated by phrases indicating manipulation, exploitation, or optimization of a situation, often in a medical or therapeutic context, as well as phrases related to substance abuse."""	2B
12	4974	"""Medical terms or phrases, often related to diagnoses, procedures, or conditions, especially those with Greek or Latin roots."""	2B
12	4975	"""The token \""verify\"" is consistently activated across various contexts, suggesting that the model is recognizing the concept of confirmation or validation, regardless of the specific situation or domain."""	2B
12	4976	"""Medical terms related to respiratory or surgical procedures, particularly those involving ventilation, intubation, or lithotripsy, as well as terms describing physical trauma or injury."""	2B
12	4977	"""The token \""Act\"" is a key pattern, often indicating the presence of the medication name \""Actonel\"", but also recognized in other contexts."""	2B
12	4978	"""Medical terms, diagnoses, treatments, and measurements, particularly those related to patient conditions, medications, and medical procedures."""	2B
12	4979	"""The model is activated by the first part of a word or phrase that is a medication, medical test, or medical instruction."""	2B
12	4980	"""Units of measurement, medical dosages, or vital signs."""	2B
12	4981	"""Medication instructions or dosages, often denoted by symbols or numbers."""	2B
12	4982	"""Conjunctions and punctuation used to connect or separate items in a list."""	2B
12	4983	"""The presence of \""Poly\"" in medication names, particularly those containing \""Polyvinyl\""."""	2B
12	4984	"""Gastrointestinal-related terms or abbreviations, particularly those involving the stomach or intestines."""	2B
12	4985	"""The activation pattern is associated with the verb \""watch\"" in the context of monitoring or observing a patient's condition, behavior, or health status."""	2B
12	4986	"""Laboratory values or medical test results, particularly those related to blood work or urinalysis."""	2B
12	4987	"""Surgical procedures or traumatic injuries."""	2B
12	4988	"""Institutional or organizational entities, including facilities, hospitals, clinics, companies, and government bodies, as well as staff or personnel associated with these entities."""	2B
12	4989	"""Phrases or words that indicate a shift in topic or provide context, often related to medical information or procedures, particularly those that follow transitional words or phrases such as \""regarding,\"" \""in regards to,\"" or \""with information on.\"""""	2B
12	4990	"""Expressions of affection, care, or positive sentiment towards oneself or others."""	2B
12	4991	"""Punctuation marks or special characters that indicate a transition or separation between sections, sentences, or ideas in medical reports."""	2B
12	4992	"""The token \""g\"" is consistently activated when it appears as part of the abbreviation \""e.g.\"", indicating that the model is recognizing this common abbreviation."""	2B
12	4993	"""Expressions of patient or healthcare provider desires or preferences."""	2B
12	4994	"""Tokens containing numbers, especially in sequences or specific values."""	2B
12	4995	"""The phrase \""in the setting of\"" is consistently activated, indicating that the model is recognizing this specific phrase as a pattern, often used to describe a medical condition or event occurring in the context of another condition or circumstance."""	2B
12	4996	"""The token \""1\"" is consistently activated when it appears as part of a \""10\"" in a medical context, likely indicating a dosage or quantity."""	2B
12	4997	"""Medication or treatment-related terms, including names of medications, dosages, and medical concepts related to their administration or effects."""	2B
12	4998	"""The model is activated by phrases indicating a change in a patient's condition or treatment, often marked by a contrast or a consequence, typically introduced by a conjunction or a preposition."""	2B
12	4999	"""Medical terms, abbreviations, or phrases related to diagnoses, treatments, medications, or medical procedures."""	2B
12	5002	"""The term \""organization\"" is activated when referring to the formation or arrangement of structures or tissues, often in the context of medical imaging or pathology, as well as when referring to a healthcare or administrative entity."""	2B
12	5003	"""Personal care or daily activities, particularly those involving hygiene or medication management."""	2B
12	5004	"""The preposition \""of\"" is consistently activated across various contexts, often in the phrase \""each of\"", indicating that the model is sensitive to this specific prepositional phrase, regardless of the surrounding words or meaning."""	2B
12	5005	"""Places or activities related to commerce, shopping, or sales, with higher activation levels for \""market\"" and lower activation levels for related but less direct concepts like \""marketing\"" or \""supermarket\""."""	2B
12	5006	"""Medication prescriptions, including dosages, frequencies, and instructions."""	2B
12	5007	"""Nutritional supplements or dietary components, particularly those related to omega-3 fatty acids, vitamin K, and other health-promoting nutrients."""	2B
12	5008	"""The model is activated by mentions of a person's role, occupation, or job, often in the context of their responsibilities, profession, or employment status."""	2B
12	5009	"""Tokens enclosed in quotes."""	2B
12	5010	"""Numerical values, often indicating quantities, measurements, or counts."""	2B
12	5011	"""Periods at the end of sentences, particularly those describing medical treatment or prevention of a condition."""	2B
12	5012	"""The model is activated by phrases that describe improvement, change, or progression in a patient's condition, often in relation to treatment or medical interventions."""	2B
12	5013	"""The presence of the word \""Full\"" in medical contexts, often indicating completeness or entirety, such as full code, full strength, full labs, or full enteral feedings."""	2B
12	5014	"""Time-related terms or phrases, including times of day, meal times, or scales used in medical assessments."""	2B
12	5015	"""The term \""CONDITION\"" is highly activated when it appears in the context of a patient's status at discharge, often in phrases such as \""CONDITION ON DISCHARGE\"" or \""CONDITION AT DISCHARGE\""."""	2B
12	5016	"""The model is activating on suffixes or parts of words that are not semantically meaningful on their own, often indicating a focus on word endings or morphological patterns."""	2B
12	5017	"""Antiplatelet medications, specifically their names or mentions of their continuation or cessation."""	2B
12	5018	"""Medical terms, doctor or hospital mentions, and medication names."""	2B
12	5019	"""The term \""private\"" is activated when referring to a private setting, such as a private company, private home care, private home, private room, or private medical practice."""	2B
12	5020	"""References to the United States."""	2B
12	5021	"""The presence of \""bee\"" or \""bee-related\"" terms, such as \""bee pollen\"" or \""bee stings\"", often indicating an allergy."""	2B
12	5022	"""The ability or capacity to perform a specific action or achieve a certain state, often indicating a positive outcome or recovery."""	2B
12	5023	"""The presence of a numerical value, often denoting a quantity or dosage, immediately following the delimiter."""	2B
12	5024	"""Numerical values, particularly percentages and ratios, often in the context of medication concentrations or dosages."""	2B
12	5025	"""The digit preceding a medication dosage."""	2B
12	5026	"""First-person plural pronouns (\""we\"", \""our\"") and singular pronouns (\""I\"") that indicate the healthcare provider's actions or involvement."""	2B
12	5027	"""Medical terminology, particularly related to diagnoses, procedures, or medical concepts."""	2B
12	5028	"""Prepositions, particularly \""of\"", \""in\"", \""for\"", and \""with\"", when used in a context that is not conclusively diagnostic, but rather associative or descriptive."""	2B
12	5029	"""The model is activated by tokens that describe the boundaries or edges of anatomical structures or lesions, often in the context of medical imaging."""	2B
12	5030	"""Medical terms or conditions, particularly those related to diagnoses, procedures, or anatomical structures."""	2B
12	5031	"""Numerical values, particularly those that appear to be measurements or laboratory values."""	2B
12	5032	"""Medication names or sounds associated with respiratory issues."""	2B
12	5033	"""Medical conditions, diagnoses, or lab findings, particularly those related to the urinary system or kidney function."""	2B
12	5034	"""Numerical values, particularly those that appear to be medical codes, dosages, or quantities."""	2B
12	5035	"""Actions or interventions taken or recommended by medical professionals."""	2B
12	5036	"""Medical instructions, dosages, or administration methods."""	2B
12	5037	"""Punctuation marks and words that indicate transition, separation, or continuation of ideas, as well as words that introduce or conclude findings or results."""	2B
12	5038	"""The presence of a \""1\"" or a \""2\"" followed by \""0\"" in a medication dosage or a numerical value in a medical measurement."""	2B
12	5039	"""Actions or steps that can be taken by the patient or healthcare provider, often related to scheduling or accessing information."""	2B
12	5040	"""Emphasis on crucial actions or information, often conveyed through words like \""important\"" or expressions of sentiment like \""pleasure\"", typically indicating a need for attention or adherence to medical instructions."""	2B
12	5041	"""The presence of a parenthesis or quotation mark, often indicating the start or end of a quotation, or a parenthetical remark, particularly when paired with another parenthesis or quotation mark."""	2B
12	5042	"""Actions or events initiated or undergone by a patient, often involving medical procedures or interventions."""	2B
12	5043	"""Punctuation marks and conjunctions that connect clauses or phrases, often indicating a transition or continuation in the narrative."""	2B
12	5044	"""Medication names or dosages, often appearing after a colon or in a specific format, are not the focus of activation, but rather the presence of a blank token, indicating that the model is activated by the formatting or structure of medication prescriptions."""	2B
12	5045	"""The verb \""join\"" in various forms, often indicating a desire or action to connect or unite with something or someone."""	2B
12	5046	"""Day of life or numerical values, often in the context of medical records or treatment plans."""	2B
12	5048	"""The word \""importantly\"" or \""significantly\"" when used to emphasize a crucial point or detail in a medical context."""	2B
12	5049	"""The model is activated by numeric values embedded within the text, often representing quantities, weights, or time intervals, typically in the context of medical instructions or guidelines."""	2B
12	5050	"""Medical assessment and evaluation terms, particularly those indicating normal or positive results."""	2B
12	5051	"""Medical tests, studies, or laboratory data, as well as certain medical conditions or symptoms."""	2B
12	5052	"""Numerical values or quantities, often in the context of medical instructions, measurements, or safety precautions."""	2B
12	5053	"""Medication prescriptions, including dosage instructions and dispensing information."""	2B
12	5054	"""Patient symptoms, medical findings, or abnormal conditions, often with a focus on unusual or alarming presentations."""	2B
12	5055	"""Medical terms or phrases, particularly those related to pregnancy, childbirth, or kidney disease."""	2B
12	5056	"""Medical abbreviations, dosages, or numerical values, often related to medication or lab results."""	2B
12	5057	"""Geographic origins or locations."""	2B
12	5058	"""Numerical values or codes, often indicating measurements, quantities, or medical codes."""	2B
12	5059	"""Attempting or trying to perform an action."""	2B
12	5060	"""Medication names or components, particularly those related to respiratory conditions."""	2B
12	5061	"""Medical procedures, hospital events, or locations."""	2B
12	5062	"""Medication dosages or quantities."""	2B
12	5063	"""Physical disabilities or mobility impairments."""	2B
12	5064	"""The model is activated by tokens that indicate a change, shift, or contrast in a medical context, often involving a reversal, reaction, or unexpected outcome."""	2B
12	5067	"""The activation patterns are associated with the action of sending or forwarding information, typically medical records or test results, to a specific recipient or location."""	2B
12	5068	"""Numerical values or ranges, often with a preceding preposition or descriptor, typically indicating a target or goal value."""	2B
12	5069	"""The model is activated by tokens related to medical follow-up, evaluation, or assessment, often indicating a need for future examination or monitoring."""	2B
12	5070	"""Spinal vertebrae references, specifically the vertebral levels (e.g. T, C, L) in medical imaging reports."""	2B
12	5071	"""Medication names or dosages."""	2B
12	5072	"""Medical concepts or conditions, particularly those related to patient care or treatment, such as feeding, withdrawal, maturity, reconstitution, postoperative, and jugular, often in the context of a medical diagnosis or procedure."""	2B
12	5073	"""The term \""edge\"" is consistently activated across various medical contexts, suggesting that the model is recognizing the concept of a boundary or margin, often in relation to anatomical structures or medical procedures."""	2B
12	5074	"""Percentile rankings, particularly those related to infant growth metrics such as weight, length, and head circumference."""	2B
12	5075	"""Physical accessibility or navigation within a home or building, particularly involving stairs or entrances."""	2B
12	5076	"""The model is activated by partial or complete words that are likely to be medical terms or medications, often with a prefix or suffix that is a common component of such terms."""	2B
12	5077	"""Medical reports or summaries, particularly those that are preliminary or interim, as well as certain medical conditions or findings."""	2B
12	5078	"""Medical terms, diagnoses, treatments, or procedures, often in the context of patient care or medical history."""	2B
12	5079	"""The activation patterns are associated with the presence of medical instructions, prescriptions, or test results, often denoted by a specific format or sequence of characters, particularly the use of abbreviations and numerical values."""	2B
12	5080	"""Units of measurement, medical abbreviations, or specific values in medical contexts."""	2B
12	5081	"""The presence of a space character immediately following a delimiter, often indicating the end of a dosage instruction or a medical term."""	2B
12	5082	"""The model is activated by tokens related to severe mental or physical distress, suicidal ideation, or significant medical conditions, particularly those involving life-threatening situations or severe cognitive impairment."""	2B
12	5083	"""The model is activated by phrases indicating continuation or ongoing actions, often related to medical treatment or patient conditions."""	2B
12	5084	"""The activation patterns are associated with the token \""denies\"" and occasionally the tokens immediately following it, indicating that the model is capturing instances of patients denying or not experiencing certain symptoms or conditions."""	2B
12	5085	"""Medical terms, particularly those related to laboratory results, medical imaging, and bodily functions or conditions."""	2B
12	5086	"""The token \""from\"" is consistently activated across various snippets, often in the context of indicating origin, source, or affiliation, suggesting that the model is recognizing phrases that establish relationships between entities."""	2B
12	5087	"""Emotional or psychological states, or expressions of distress."""	2B
12	5088	"""The presence of the term \""biopsy\"" or its abbreviation \""bio\"" in medical contexts, often in relation to diagnostic procedures or medical history."""	2B
12	5089	"""Medical terms, diagnoses, lab findings, and medical procedures."""	2B
12	5090	"""Laboratory test names, values, and units, particularly those related to blood work."""	2B
12	5091	"""Verb phrases or words indicating communication, transfer, or conveyance of information."""	2B
12	5092	"""The digit \""1\"" is consistently activated when it appears as the first digit in a numerical value, often representing a dosage or quantity in medical prescriptions."""	2B
12	5093	"""Medication names or medical instructions, often following a numbered list or a specific format."""	2B
12	5094	"""The model is activated by pronouns and possessive forms referring to a specific patient or individual in a medical context."""	2B
12	5095	"""The model is activated by pronouns, particularly those referring to the subject of a sentence or clause, often indicating a shift in focus or a new action."""	2B
12	5096	"""Geographic locations or medical conditions described as chronic."""	2B
12	5097	"""Medical procedures, specialties, or conditions, often in a clinical or diagnostic context."""	2B
12	5099	"""The symbol \""#\"" or the word \""rub\"" often indicates a specific medical test, procedure, or stimulus, and is frequently used to denote a particular medical finding or intervention."""	2B
12	5100	"""The model is activated by phrases related to self-harm, self-care, or bodily functions, particularly those involving the urinary system or nighttime activities."""	2B
12	5101	"""The term \""paren\"" or \""parent\"" is activated when referring to the parenchyma of an organ, particularly in the context of medical imaging or pathology."""	2B
12	5102	"""The model is activated by tokens describing a patient's general appearance or demeanor, particularly those indicating a positive or neutral disposition, such as \""pleasant\"" and \""cooperative\"", as well as \""alert\"" in certain contexts."""	2B
12	5104	"""The token \""FU\"" consistently has high activation levels, suggesting it represents a pattern of interest, specifically \""Follow-Up\""."""	2B
12	5105	"""\""FreeStyle\"" brand diabetes management products."""	2B
12	5106	"""The model is activated by phrases indicating interactions or relationships between individuals, particularly those involving healthcare professionals or family members."""	2B
12	5107	"""The digit \""1\"" is consistently activated when it appears as the first digit in a dosage quantity, often in the format \""1X\"" where X is another digit."""	2B
12	5108	"""Numerical values, particularly those related to medical measurements or quantities, often in conjunction with a preceding or succeeding space character."""	2B
12	5109	"""Hematological terms, particularly those related to blood cells, bone marrow, and hematopoiesis."""	2B
12	5110	"""The model is activated by tokens that are part of a phrase or sentence that is being emphasized or highlighted, often to draw attention to a notable or significant aspect of the patient's condition or medical history."""	2B
12	5111	"""Medication names or numbers in a medical prescription context."""	2B
12	5112	"""Numerical values, particularly measurements, sizes, and quantities, often in a medical or scientific context."""	2B
12	5113	"""Medication names and dosages."""	2B
12	5114	"""Assistance or supportive devices used by patients, particularly for mobility or care."""	2B
12	5115	"""The presence of the term \""Family\"" in the context of medical history."""	2B
12	5116	"""The digit \""1\"" is consistently activated when it appears as the first digit in a numerical value, often representing a quantity or dosage in medical prescriptions."""	2B
12	5117	"""Medical terms or phrases, particularly those related to diagnoses, treatments, or medical professionals, tend to have higher activation levels, while more general or conversational language has lower activation levels, but certain words or phrases that are part of the medical narrative also have higher activation levels."""	2B
12	5118	"""Medication names, dosages, and administration instructions."""	2B
12	5119	"""The model is activated by phrases or words that indicate conditions, actions, or circumstances under which something should be done, often in a medical context, such as taking medication, undergoing a procedure, or being discharged."""	2B
12	5120	"""Age-related information, including age descriptors and numerical age values."""	2B
12	5121	"""The presence of the comparative phrase \""greater than\"" or \""less than\"" in a medical context, often used to describe numerical values or thresholds."""	2B
12	5122	"""The presence of \""/o\"" (short for \""history of\"") in the text, often indicating a patient's medical history."""	2B
12	5123	"""Numerical values, particularly those related to time, quantity, or dosage."""	2B
12	5124	"""Phrases indicating preparation or anticipation of a future event or action."""	2B
12	5125	"""The presence of a translator or translation process, often indicating a language barrier between the patient and medical staff."""	2B
12	5126	"""Electronically signed statements, particularly the words \""Electronically\"" and \""signed\""."""	2B
12	5127	"""Negation or contrast, often indicated by the presence of \""not\"" or phrases that imply an exception or a reversal of expectation."""	2B
12	5128	"""Medication names and dosing instructions."""	2B
12	5129	"""Numerical values or quantities, often related to medication dosages or time intervals."""	2B
12	5130	"""Third-person singular pronouns, particularly when referring to a doctor or medical professional, often in the context of future actions or instructions."""	2B
12	5131	"""Medical recommendations or suggestions for patient care or treatment."""	2B
12	5132	"""The presence of a singular numerical value, often denoted as \""1\"", within the text, typically in the context of medication instructions or quantities."""	2B
12	5133	"""Presence of the substring \""Ind\""."""	2B
12	5134	"""Medical terms, abbreviations, or keywords, often related to diagnoses, medications, or medical procedures."""	2B
12	5135	"""The model is activated by tokens indicating normal or intact physiological functions or conditions, often used in medical assessments."""	2B
12	5136	"""The model is activated by medical terms, particularly those related to diagnoses, treatments, or medical concepts, often in the context of patient history or medical imaging."""	2B
12	5137	"""Medical test results or physical examination findings, particularly those related to blood cell counts or skin conditions."""	2B
12	5138	"""Ordinal or sequential references, such as \""first\"", \""second\"", \""next\"", and \""last\"", that indicate a specific position or order in a sequence of events or items."""	2B
12	5139	"""Numerical values, particularly those that appear to be measurements or quantities, often in the context of medical data."""	2B
12	5140	"""The presence of certain words or phrases that indicate a degree or quantity, such as \""some\"", \""many\"", or \""no\"", often in the context of medical findings or test results."""	2B
12	5141	"""Pregnancy, childbirth, and related complications or conditions."""	2B
12	5142	"""Medical terms, measurements, and monitoring parameters, particularly those related to vital signs, medications, and laboratory tests."""	2B
12	5144	"""Medical recommendations or suggestions, including proposed treatments, procedures, or interventions."""	2B
12	5145	"""The term \""bibasilar\"" in radiology reports, often referring to findings in the lungs."""	2B
12	5146	"""Numerical values or quantities, often in the context of medication dosages or post-operative instructions."""	2B
12	5147	"""Physiological parameters or medical test values, often related to vital signs or cardiovascular health."""	2B
12	5148	"""Pronouns referring to the subject or person being described."""	2B
12	5149	"""The presence of a numerical value, particularly when it is zero or contains a zero."""	2B
12	5151	"""Numerical values or units of measurement, often indicating time or quantity, and sometimes the word \""history\"" when it is part of a medical or social history."""	2B
12	5152	"""Aquatic or marine-related terms, including seafood, fish, boats, and water activities."""	2B
12	5153	"""Medical or clinical interactions, including appointments, discussions, medical procedures, and patient assessments."""	2B
12	5154	"""The presence of negation or absence of a condition, often indicated by words like \""no\"", \""not\"", \""without\"", \""uncomplicated\"", or phrases that convey a lack of symptoms or complications."""	2B
12	5155	"""The colon (:) symbol, often used to indicate a prescription or dosage instruction, is the primary pattern associated with high activation levels."""	2B
12	5156	"""Medical terms, abbreviations, and appointment instructions."""	2B
12	5157	"""Meetings or discussions, often involving medical professionals, patients, and/or family members, typically for decision-making or updates on patient care."""	2B
12	5158	"""The token \""pls\"" is consistently activated, indicating that it represents a pattern of polite requests or instructions, often in a medical context."""	2B
12	5159	"""Numerical values or ranges, often related to medication dosages, medical measurements, or numerical thresholds."""	2B
12	5160	"""Medication names, dosages, and administration instructions, as well as medical conditions and procedures."""	2B
12	5161	"""Phrases indicating suitability or being a good fit for a particular treatment, procedure, or situation."""	2B
12	5162	"""Emergency department or hospital arrival/discharge."""	2B
12	5163	"""Medication names."""	2B
12	5164	"""Occupations or pastimes involving creative or skilled work, particularly those related to crafting or retail."""	2B
12	5165	"""Comparative phrases \""as much as\"" or \""as high as\""."""	2B
12	5166	"""The presence of a dash or other special characters used as separators in medical test results or laboratory values."""	2B
12	5167	"""Medical terms or phrases, often related to diagnoses, symptoms, or medical procedures, particularly those that are specific or technical."""	2B
12	5168	"""Actions or events that are inappropriate, incorrect, or unsuccessful, often with negative consequences."""	2B
12	5169	"""The model is activated by tokens that are part of a family history or medical notation, particularly when they indicate a relationship or a measurement."""	2B
12	5170	"""The model is activated by tokens that are part of phrases indicating medical consultation or exclusion of a diagnosis."""	2B
12	5171	"""The model is activated by error or mistake indicators, and also by medical abbreviations or truncated words, particularly those related to medical procedures or equipment."""	2B
12	5172	"""Expressions of hope or optimism regarding patient outcomes or future events."""	2B
12	5173	"""Medical terms, particularly those related to body parts, procedures, or appointments, tend to have higher activation levels."""	2B
12	5174	"""Colon (:) used as a delimiter in medical documentation, often indicating completion or dictation."""	2B
12	5175	"""The presence of \""Twin\"" or \""Hip\"" in the medical history or diagnosis."""	2B
12	5176	"""The activation levels are higher for tokens that describe symptoms, medical conditions, or patient experiences, particularly when they are part of a sequence of consecutive tokens that convey a specific medical concept or finding."""	2B
12	5177	"""The term \""base\"" is consistently activated, often in the context of anatomical locations or medical conditions, suggesting that the model is recognizing \""base\"" as a key term in medical descriptions."""	2B
12	5178	"""Oxygen supply or ventilation method being used by the patient."""	2B
12	5179	"""The presence of the word \""possible\"" and its surrounding context, often indicating a recommendation or suggestion for a course of action, particularly in medical treatment or procedure."""	2B
